Woonplaatsen;Gemeente
Spannum;Waadhoeke
Spaubeek;Beek
Spier;Midden-Drenthe
Spier;Westerveld
Spierdijk;Koggenland
Spijk;Zevenaar
Spijk;Delfzijl
Spijk;WestBetuwe
Spijkenisse;Nissewaard
Spijkerboor;AaenHunze
Spijkerboor;Wormerland
Sprang-Capelle;Waalwijk
Sprundel;Rucphen
Spui;Terneuzen
Stad aan 't Haringvliet;Goeree-Overflakkee
Stadskanaal;Stadskanaal
Stampersgat;Halderberge
Standdaarbuiten;Moerdijk
Staphorst;Staphorst
Starnmeer;Alkmaar
Startenhuizen;Loppersum
Startenhuizen;HetHogeland
Stavenisse;Tholen
Stavoren;Súdwest-Fryslân
Stedum;Loppersum
De Steeg;Rheden
Steenbergen;Steenbergen
Steenbergen;Noordenveld
Steendam;Midden-Groningen
Steenderen;Bronckhorst
Steenenkamer;Voorst
Steensel;Eersel
Steenwijk;Steenwijkerland
Steenwijkerwold;Steenwijkerland
Stegeren;Ommen
Steggerda;Weststellingwerf
Stein;Stein
Stellendam;Goeree-Overflakkee
Sterksel;Heeze-Leende
Stevensbeek;SintAnthonis
Stevensweert;Maasgouw
Steyl;Venlo
Stieltjeskanaal;Coevorden
Stiens;Leeuwarden
Stitswerd;HetHogeland
Stokkum;Montferland
Stolwijk;Krimpenerwaard
Stompetoren;Alkmaar
Stoutenburg;Leusden
Stoutenburg Noord;Amersfoort
Stramproy;Weert
Streefkerk;Molenlanden
Striep;Terschelling
Strijbeek;Alphen-Chaam
Strijen;HoekscheWaard
Strijensas;HoekscheWaard
Stroe;Barneveld
Stroobos;Achtkarspelen
Stuifzand;Midden-Drenthe
Stuifzand;Hoogeveen
Sumar;Tytsjerksteradiel
Surhuisterveen;Achtkarspelen
Surhuizum;Achtkarspelen
Susteren;Echt-Susteren
Suwâld;Tytsjerksteradiel
Swalmen;Roermond
Sweikhuizen;Beekdaelen
Swichum;Leeuwarden
Swifterbant;Dronten
Swolgen;HorstaandeMaas
Taarlo;Tynaarlo
Teeffelen;Oss
Teerns;Leeuwarden
Tegelen;Venlo
Terband;Heerenveen
Terborg;OudeIJsselstreek
Terheijden;Drimmelen
Terherne;DeFryskeMarren
Terhole;Hulst
Terkaple;DeFryskeMarren
Termunten;Delfzijl
Termunterzijl;Delfzijl
Ternaard;Noardeast-Fryslân
Terneuzen;Terneuzen
Teroele;DeFryskeMarren
Terschuur;Barneveld
Tersoal;Súdwest-Fryslân
Terwispel;Opsterland
Terwolde;Voorst
Teteringen;Breda
Teuge;Voorst
Thesinge;Groningen
Tholen;Tholen
Thorn;Maasgouw
Tiel;Tiel
Tiendeveen;Hoogeveen
Tiendeveen;Midden-Drenthe
Tienhoven;StichtseVecht
Tienhoven aan de Lek;Vijfheerenlanden
Tienray;HorstaandeMaas
Tijnje;Opsterland
De Tike;Smallingerland
Tilburg;Tilburg
Tilligte;Dinkelland
Tinallinge;HetHogeland
Tinte;Westvoorne
Tirns;Súdwest-Fryslân
Tjalhuizum;Súdwest-Fryslân
Tjalleberd;Heerenveen
Tjerkgaast;DeFryskeMarren
Tjerkwerd;Súdwest-Fryslân
Tjuchem;Midden-Groningen
Tolbert;Westerkwartier
Toldijk;Bronckhorst
Tolkamer;Zevenaar
Tollebeek;Noordoostpolder
Tonden;Brummen
Toornwerd;Loppersum
Tricht;WestBetuwe
Triemen;Noardeast-Fryslân
Tripscompagnie;Midden-Groningen
Tubbergen;Tubbergen
Tuil;WestBetuwe
Tuitjenhorn;Schagen
Tuk;Steenwijkerland
Tull en 't Waal;Houten
Twello;Voorst
Twijzel;Achtkarspelen
Twijzelerheide;Achtkarspelen
Twisk;Medemblik
Tynaarlo;Tynaarlo
Tytsjerk;Tytsjerksteradiel
Tzum;Waadhoeke
Tzummarum;Waadhoeke
Ubbena;Assen
Ubbergen;BergenDal
Uddel;Apeldoorn
Uden;Uden
Udenhout;Tilburg
Uffelte;Westerveld
Ugchelen;Apeldoorn
Uitdam;Waterland
Uitgeest;Uitgeest
Uithoorn;Uithoorn
Uithuizen;HetHogeland
Uithuizermeeden;HetHogeland
Uitwellingerga;Súdwest-Fryslân
Uitwijk;Altena
Ulestraten;Meerssen
Ulft;OudeIJsselstreek
Ulicoten;Baarle-Nassau
Ulrum;HetHogeland
Ulvenhout;Breda
Ulvenhout AC;Alphen-Chaam
Ureterp;Opsterland
Urk;Urk
Urmond;Stein
Ursem;Alkmaar
Ursem;Koggenland
Usquert;HetHogeland
Utrecht;Utrecht
Vaals;Vaals
Vaassen;Epe
Valburg;Overbetuwe
Valkenburg;Katwijk
Valkenburg;ValkenburgaandeGeul
Valkenswaard;Valkenswaard
Valthe;Borger-Odoorn
Valthermond;Borger-Odoorn
2e Valthermond;Borger-Odoorn
Varik;WestBetuwe
Varsselder;OudeIJsselstreek
Varsseveld;OudeIJsselstreek
Vasse;Tubbergen
Veelerveen;Westerwolde
Veen;Altena
Veendam;Veendam
Veenendaal;Veenendaal
De Veenhoop;Smallingerland
Veenhuizen;Noordenveld
Veeningen;DeWolden
Veenklooster;Noardeast-Fryslân
Veenoord;Emmen
Veere;Veere
Veessen;Heerde
Vegelinsoord;DeFryskeMarren
Veghel;Meierijstad
't Veld;HollandsKroon
Velddriel;Maasdriel
Den Velde;Hardenberg
Velden;Venlo
Veldhoven;Veldhoven
Velp;Grave
Velp;Rheden
Velsen-Noord;Velsen
Velsen-Zuid;Velsen
Velserbroek;Velsen
Venebrugge;Hardenberg
Venhorst;Boekel
Venhuizen;Drechterland
Venlo;Venlo
Venray;Venray
Ven-Zelderheide;Gennep
Vessem;Eersel
Vethuizen;Montferland
Veulen;Venray
Vianen;Vijfheerenlanden
Vianen NB;Cuijk
Vierakker;Bronckhorst
Vierhouten;Nunspeet
Vierhuizen;HetHogeland
Vierlingsbeek;Boxmeer
Vierpolders;Brielle
Vijfhuizen;Haarlemmermeer
Vijlen;Vaals
Vilsteren;Ommen
Vinkega;Weststellingwerf
Vinkel;Bernheze
Vinkel;'s-Hertogenbosch
Vinkenbuurt;Ommen
Vinkeveen;DeRondeVenen
Visvliet;Westerkwartier
Vlaardingen;Vlaardingen
Vlagtwedde;Westerwolde
Vledder;Westerveld
Vledderveen;Westerveld
Vledderveen;Stadskanaal
Vleuten;Utrecht
Vlieland;Vlieland
Vlierden;Deurne
Vlijmen;Heusden
Vlissingen;Vlissingen
Vlist;Krimpenerwaard
Vlodrop;Roerdalen
Voerendaal;Voerendaal
Vogelenzang;Bloemendaal
Vogelwaarde;Hulst
Volendam;Edam-Volendam
Volkel;Uden
Vollenhove;Steenwijkerland
Vondelingenplaat Rotterdam;Rotterdam
Voorburg;Leidschendam-Voorburg
Voorhout;Teylingen
Voorschoten;Voorschoten
Voorst;OudeIJsselstreek
Voorst;Voorst
Voorthuizen;Barneveld
Vorchten;Heerde
Vorden;Bronckhorst
Vorstenbosch;Bernheze
Vortum-Mullem;Boxmeer
Vragender;OostGelre
Vredenheim;AaenHunze
Vredepeel;Venray
Vreeland;StichtseVecht
Vries;Tynaarlo
Vriescheloo;Westerwolde
Vriezenveen;Twenterand
Vroomshoop;Twenterand
Vrouwenakker;Nieuwkoop
Vrouwenparochie;Waadhoeke
Vrouwenpolder;Veere
Vught;Vught
Vuren;WestBetuwe
Waaksens;Súdwest-Fryslân
Waal;Molenlanden
De Waal;Texel
Waalre;Waalre
Waalwijk;Waalwijk
't Waar;Oldambt
Waarde;Reimerswaal
Waardenburg;WestBetuwe
Waarder;Bodegraven-Reeuwijk
Waardhuizen;Altena
Waarland;Schagen
Waaxens;Noardeast-Fryslân
Wachtum;Coevorden
Waddinxveen;Waddinxveen
Wadenoijen;Tiel
Wagenberg;Drimmelen
Wagenborgen;Delfzijl
Wageningen;Wageningen
Walem;ValkenburgaandeGeul
Walsoorden;Hulst
Wâlterswâld;Dantumadiel
Wamel;WestMaasenWaal
Wanneperveen;Steenwijkerland
Wanroij;SintAnthonis
Wanssum;Venray
Wânswert;Noardeast-Fryslân
Wapenveld;Heerde
Wapse;Westerveld
Wapserveen;Westerveld
Warder;Edam-Volendam
Warffum;HetHogeland
Warfhuizen;HetHogeland
Warfstermolen;Noardeast-Fryslân
Warmenhuizen;Schagen
Warmond;Teylingen
Warns;Súdwest-Fryslân
Warnsveld;Zutphen
Warstiens;Leeuwarden
Warten;Leeuwarden
Waskemeer;Ooststellingwerf
Waspik;Waalwijk
Wassenaar;Wassenaar
Wateren;Westerveld
Watergang;Waterland
Waterhuizen;Midden-Groningen
Wateringen;Westland
Waterlandkerkje;Sluis
Waverveen;DeRondeVenen
Wedde;Westerwolde
De Weere;Opmeer
Weerselo;Dinkelland
Weert;Weert
Weesp;Weesp
Wehe-den Hoorn;HetHogeland
Wehl;Doetinchem
Weidum;Leeuwarden
Weiteveen;Emmen
Wekerom;Ede
Well;Maasdriel
Well L;Bergen(L.)
Wellerlooi;Bergen(L.)
Welsum;Olst-Wijhe
Wemeldinge;Kapelle
Wenum Wiesel;Apeldoorn
Wergea;Leeuwarden
Werkendam;Altena
Werkhoven;Bunnik
Wernhout;Zundert
Wervershoof;Medemblik
Wesepe;Olst-Wijhe
Wessem;Maasgouw
Westbeemster;Beemster
Westbroek;DeBilt
Westdorp;Borger-Odoorn
Westdorpe;Terneuzen
Westendorp;OudeIJsselstreek
Westerbeek;SintAnthonis
Westerbork;Midden-Drenthe
Westerbroek;Midden-Groningen
De Westereen;Dantumadiel
Westeremden;Loppersum
Westergeest;Noardeast-Fryslân
Westerhaar-Vriezenveensewijk;Twenterand
Westerhoven;Bergeijk
Westerland;HollandsKroon
Westerlee;Oldambt
Westernieland;HetHogeland
Westervelde;Noordenveld
Westervoort;Westervoort
Westerwijtwerd;Loppersum
West-Graftdijk;Alkmaar
Westhem;Súdwest-Fryslân
Westhoek;Waadhoeke
Westkapelle;Veere
Westknollendam;Zaanstad
Westmaas;HoekscheWaard
West-Terschelling;Terschelling
Westwoud;Drechterland
Westzaan;Zaanstad
Wetering;Steenwijkerland
Weteringbrug;Haarlemmermeer
Wetsens;Noardeast-Fryslân
Wetsinge;HetHogeland
Weurt;Beuningen
Wezep;Oldebroek
Wezup;Coevorden
Wezuperbrug;Coevorden
Wichmond;Bronckhorst
Wier;Waadhoeke
Wierden;Wierden
Wieringerwaard;HollandsKroon
Wieringerwerf;HollandsKroon
Wierum;Noardeast-Fryslân
Wijchen;Wijchen
Wijckel;DeFryskeMarren
Wijdenes;Drechterland
Wijdewormer;Wormerland
Wijhe;Olst-Wijhe
de Wijk;DeWolden
Wijk aan Zee;Beverwijk
Wijk bij Duurstede;WijkbijDuurstede
Wijk en Aalburg;Altena
Wijlre;Gulpen-Wittem
Wijnaldum;Harlingen
Wijnandsrade;Beekdaelen
Wijnbergen;Montferland
Wijngaarden;Molenlanden
Wijnjewoude;Opsterland
Wijster;Midden-Drenthe
Wilbertoord;MillenSintHubert
Wildervank;Veendam
De Wilgen;Smallingerland
Wilhelminadorp;Goes
Wilhelminaoord;Westerveld
Willemsoord;Steenwijkerland
Willemstad;Moerdijk
Wilnis;DeRondeVenen
Wilp;Voorst
De Wilp;Westerkwartier
Wilsum;Kampen
Winde;Tynaarlo
Windraak;Sittard-Geleen
Winkel;HollandsKroon
Winneweer;Groningen
Winschoten;Oldambt
Winssen;Beuningen
Winsum;Waadhoeke
Winsum;HetHogeland
Wintelre;Eersel
Winterswijk;Winterswijk
Winterswijk Brinkheurne;Winterswijk
Winterswijk Corle;Winterswijk
Winterswijk Henxel;Winterswijk
Winterswijk Huppel;Winterswijk
Winterswijk Kotten;Winterswijk
Winterswijk Meddo;Winterswijk
Winterswijk Miste;Winterswijk
Winterswijk Ratum;Winterswijk
Winterswijk Woold;Winterswijk
Wirdum;Loppersum
Wirdum;Leeuwarden
Wissenkerke;Noord-Beveland
Witharen;Ommen
Witmarsum;Súdwest-Fryslân
Witte Paarden;Steenwijkerland
Wittelte;Westerveld
Wittem;Gulpen-Wittem
Witteveen;Midden-Drenthe
Wiuwert;Súdwest-Fryslân
Wjelsryp;Waadhoeke
Woensdrecht;Woensdrecht
Woerden;Woerden
Woerdense Verlaat;Nieuwkoop
Wognum;Medemblik
Woldendorp;Delfzijl
Wolfheze;Renkum
Wolphaartsdijk;Goes
Wolsum;Súdwest-Fryslân
Woltersum;Groningen
Wolvega;Weststellingwerf
Wommels;Súdwest-Fryslân
Wons;Súdwest-Fryslân
Workum;Súdwest-Fryslân
Wormer;Wormerland
Wormerveer;Zaanstad
Woubrugge;KaagenBraassem
Woudbloem;Midden-Groningen
de Woude;Castricum
Woudenberg;Woudenberg
Woudrichem;Altena
Woudsend;Súdwest-Fryslân
Wouw;Roosendaal
Wouwse Plantage;Roosendaal
Wyns;Tytsjerksteradiel
Wytgaard;Leeuwarden
Yde;Tynaarlo
Yerseke;Reimerswaal
Ypecolsga;Súdwest-Fryslân
Ysbrechtum;Súdwest-Fryslân
Ysselsteyn;Venray
Zaamslag;Terneuzen
Zaandam;Zaanstad
Zaandijk;Zaanstad
Zalk;Kampen
Zaltbommel;Zaltbommel
't Zand;Schagen
Zandberg;Borger-Odoorn
Zandeweer;HetHogeland
Zandhuizen;Weststellingwerf
Zandpol;Emmen
't Zandt;Loppersum
Zandvoort;Zandvoort
Zeddam;Montferland
Zeegse;Tynaarlo
Zeeland;Landerd
Zeerijp;Loppersum
Zeewolde;Zeewolde
Zegge;Rucphen
Zegveld;Woerden
Zeijen;Tynaarlo
Zeijerveen;Assen
Zeijerveld;Assen
Zeist;Zeist
Zelhem;Bronckhorst
Zenderen;Borne
Zennewijnen;Tiel
Zennewijnen;WestBetuwe
Zetten;Overbetuwe
Zevenaar;Zevenaar
Zevenbergen;Moerdijk
Zevenbergschen Hoek;Moerdijk
Zevenbergschen Hoek;Drimmelen
Zevenhoven;Nieuwkoop
Zevenhuizen;Zuidplas
Zevenhuizen;Westerkwartier
Zierikzee;Schouwen-Duiveland
Zieuwent;OostGelre
Zijderveld;Vijfheerenlanden
Zijdewind;HollandsKroon
Zijldijk;Loppersum
De Zilk;Noordwijk
Zoelen;Buren
Zoelmond;Buren
Zoetermeer;Zoetermeer
Zoeterwoude;Zoeterwoude
Zonnemaire;Schouwen-Duiveland
Zorgvlied;Westerveld
Zoutelande;Veere
Zoutkamp;HetHogeland
Zuid-Beijerland;HoekscheWaard
Zuidbroek;Midden-Groningen
Zuiddorpe;Terneuzen
Zuidermeer;Koggenland
Zuiderwoude;Waterland
Zuidhorn;Westerkwartier
Zuidlaarderveen;Tynaarlo
Zuidland;Nissewaard
Zuidlaren;Tynaarlo
Zuidoostbeemster;Beemster
Zuid-Scharwoude;Langedijk
Zuidschermer;Alkmaar
Zuidveen;Steenwijkerland
Zuidveld;Midden-Drenthe
Zuidvelde;Noordenveld
Zuidwolde;HetHogeland
Zuidwolde;DeWolden
Zuidzande;Sluis
Zuilichem;Zaltbommel
Zuna;Wierden
Zundert;Zundert
Zurich;Súdwest-Fryslân
Zutphen;Zutphen
Zuurdijk;HetHogeland
Zwaag;Hoorn
Zwaagdijk-Oost;Medemblik
Zwaagdijk-West;Medemblik
Zwaanshoek;Haarlemmermeer
Zwagerbosch;Noardeast-Fryslân
Zwammerdam;AlphenaandenRijn
Zwanenburg;Haarlemmermeer
Zwartebroek;Barneveld
Zwartemeer;Emmen
Zwartewaal;Brielle
Zwartsluis;Zwartewaterland
Zweeloo;Coevorden
Zweins;Waadhoeke
Zwiggelte;Midden-Drenthe
Zwijndrecht;Zwijndrecht
Zwinderen;Coevorden
Zwolle;Zwolle
